Temp pH Cond Ca Mg Na K AlkAcid SO4_IC Cl NO2NO3N Tot.N_ps TotP AbsF420nm TOC Si
4.4 7.32 15.1 0.88 0.22 0.342 0.064 0.67 0.346 0.382 695 1037 36 0.062 9.1 1.43
5.1 6.75 5.01 0.177 0.15 0.147 0.023 0.195 0.113 0.092 96 404 13 0.081 9.7 1.21
2.1 7.55 15.2 0.844 0.423 0.283 0.068 1.22 0.112 0.24 4 888 71 0.08 10.4 2.21
2.8 7.13 8.16 0.446 0.131 0.18 0.036 0.33 0.208 0.178 41 578 21 0.059 9 0.42
2.8 7.39 13.7 0.857 0.204 0.252 0.053 0.675 0.35 0.277 47 545 31 0.059 9.9 0.52
4.9 7.1 5.67 0.277 0.14 0.123 0.016 0.208 0.163 0.079 2 403 15 0.05 8.4 1.38
4.3 6.65 3.45 0.083 0.093 0.11 0.016 0.083 0.108 0.072 2 293 12 0.015 5.8 1.1
0.9 6.8 16.1 0.753 0.348 0.462 0.074 0.697 0.271 0.502 569 1083 69 0.249 16.3 5.25
3.3 7.45 14.4 0.626 0.385 0.382 0.076 0.678 0.299 0.364 304 871 65 0.152 11.3 2.19
2.7 7.36 11.3 0.792 0.098 0.176 0.032 0.558 0.258 0.204 26 785 18 0.091 10.1 0.57
3 7.32 18.2 0.911 0.426 0.478 0.072 1.088 0.154 0.542 185 1027 37 0.175 14.8 5.54
2.8 7.22 12.4 0.467 0.314 0.383 0.066 0.501 0.268 0.375 141 563 46 0.093 9.5 1.6
2.7 7.15 19.3 0.536 0.477 0.774 0.069 0.688 0.237 0.972 44 588 37 0.083 8 2.31
2.6 6.09 8.76 0.4 0.286 0.243 0.056 0.258 0.19 0.174 290 1187 100 0.868 38.4 5.55
1.8 7.06 16 0.819 0.452 0.323 0.091 0.859 0.35 0.301 270 854 88 0.27 15.3 6.21
1.4 7.35 18.7 1 0.53 0.358 0.088 1.201 0.317 0.338 434 1811 61 0.255 13.5 2.9
2.3 7.5 24.1 1.284 0.713 0.413 0.127 1.73 0.375 0.326 712 1816 111 0.076 10.1 1.92
1.9 7.02 16.6 0.889 0.481 0.316 0.101 0.886 0.349 0.284 591 1257 197 0.451 15.6 6.1
6.6 7.11 11.2 0.481 0.299 0.289 0.053 0.474 0.304 0.255 201 603 18 0.039 8.3 1.46
2.9 6.92 5.52 0.286 0.154 0.137 0.024 0.245 0.088 0.073 85 524 20 0.271 17.3 3.93
4.2 6.86 6.07 0.288 0.163 0.148 0.028 0.207 0.15 0.096 158 637 36 0.297 14.4 4.1
3.3 6.3 4.54 0.223 0.126 0.125 0.016 0.115 0.084 0.084 87 612 33 0.558 24 4.25
3.4 7.17 5.75 0.408 0.093 0.094 0.013 0.362 0.066 0.062 35 391 8 0.101 10.7 1.79
3.3 6.93 13.1 0.524 0.453 0.315 0.065 0.837 0.232 0.16 1 1131 83 0.144 15.1 2.52
